                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47715,                 1.0036,                0.85128,                0.47705,                0.66278,                0.59414,                0.54457,                0.40174,                 1.0816,                0.83324,             0.00038375,             0.00038375,             0.00038375
                     37,                0.47663,                 1.0093,                0.85036,                0.52728,                0.61929,                 0.5849,                0.54094,                0.37964,                 1.0936,                0.82858,               0.000359,               0.000359,               0.000359
                     38,                0.47191,                0.99591,                0.84909,                0.55985,                0.60369,                0.59569,                0.54856,                0.38028,                 1.0465,                0.82497,             0.00033425,             0.00033425,             0.00033425
                     39,                0.46099,                0.96723,                 0.8422,                0.57781,                0.60179,                0.61242,                0.56592,                0.37732,                 1.0642,                0.83308,              0.0003095,              0.0003095,              0.0003095
                     40,                0.46576,                0.96234,                0.84683,                0.59442,                 0.6145,                0.62545,                0.58064,                  0.362,                 1.0247,                0.83135,             0.00028475,             0.00028475,             0.00028475
                     41,                0.39309,                0.90075,                0.81333,                0.54686,                0.58074,                0.60691,                0.54158,                0.47115,                 1.0876,                0.85232,                0.00026,                0.00026,                0.00026
                     42,                 0.3774,                0.85678,                0.81665,                0.54559,                 0.6333,                0.62286,                0.57931,                0.36212,                 1.0469,                0.82698,             0.00023525,             0.00023525,             0.00023525
                     43,                0.37115,                0.82047,                0.81302,                0.58842,                0.59189,                0.63519,                 0.5883,                0.35615,                 1.0296,                 0.8222,              0.0002105,              0.0002105,              0.0002105
                     44,                0.36213,                0.80382,                0.80869,                0.58127,                0.64142,                0.63541,                 0.5883,                0.35176,                 1.0051,                0.82718,             0.00018575,             0.00018575,             0.00018575
                     45,                0.35852,                 0.7847,                0.80665,                0.62946,                0.60183,                0.63454,                0.58658,                0.36378,                  1.017,                0.82953,               0.000161,               0.000161,               0.000161
                     46,                0.35489,                0.77332,                0.80676,                0.62191,                 0.5984,                0.64574,                0.60345,                 0.3405,                 1.0139,                0.82423,             0.00013625,             0.00013625,             0.00013625
                     47,                 0.3481,                0.76329,                0.80736,                0.57395,                0.62659,                0.63875,                0.59693,                0.33699,                  1.009,                0.82057,              0.0001115,              0.0001115,              0.0001115
                     48,                0.34698,                0.72707,                0.80579,                0.57351,                0.67398,                0.64794,                0.60431,                0.33921,                 1.0055,                0.82171,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.34298,                0.71591,                0.79826,                0.58689,                0.65954,                0.65003,                0.60825,                 0.3349,                 0.9988,                0.82164,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.33636,                0.70486,                 0.7997,                0.60819,                0.64132,                0.65539,                0.61372,                0.32876,                0.98979,                0.82034,              3.725e-05,              3.725e-05,              3.725e-05
